id_match,date_match,heure,round,venue,id_team_home,id_team_away,id_competition,id_saison
1,2024-08-17,12:30,Matchweek 1,Away,30,27,1,1
2,2024-08-25,16:30,Matchweek 2,Home,30,11,1,1
3,2024-09-01,16:00,Matchweek 3,Away,30,33,1,1
4,2024-09-14,15:00,Matchweek 4,Home,30,38,1,1
5,2024-09-17,21:00,League phase,Away,30,94,2,1
6,2024-09-21,15:00,Matchweek 5,Home,30,10,1,1
7,2024-09-25,20:00,Third round,Home,30,55,3,1
8,2024-09-28,17:30,Matchweek 6,Away,30,57,1,1
9,2024-10-02,20:00,League phase,Home,30,91,2,1
10,2024-10-05,12:30,Matchweek 7,Away,30,22,1,1
11,2024-10-20,16:30,Matchweek 8,Home,30,18,1,1
12,2024-10-23,21:00,League phase,Away,30,72,2,1
13,2024-10-27,16:30,Matchweek 9,Away,30,3,1,1
14,2024-10-30,19:30,Fourth round,Away,30,12,3,1
15,2024-11-02,15:00,Matchweek 10,Home,30,12,1,1
16,2024-11-05,20:00,League phase,Home,30,71,2,1
17,2024-11-09,20:00,Matchweek 11,Home,30,4,1,1
18,2024-11-24,14:00,Matchweek 12,Away,30,45,1,1
19,2024-11-27,20:00,League phase,Home,30,79,2,1
20,2024-12-01,16:00,Matchweek 13,Home,30,32,1,1
21,2024-12-04,19:30,Matchweek 14,Away,30,36,1,1
22,2024-12-10,18:45,League phase,Away,30,78,2,1
23,2024-12-14,15:00,Matchweek 16,Home,30,26,1,1
24,2024-12-18,20:00,Quarter-finals,Away,30,45,3,1
25,2024-12-22,16:30,Matchweek 17,Away,30,50,1,1
26,2024-12-26,20:00,Matchweek 18,Home,30,28,1,1
27,2024-12-29,17:15,Matchweek 19,Away,30,55,1,1
28,2025-01-05,16:30,Matchweek 20,Home,30,33,1,1
29,2025-01-08,20:00,Semi-finals,Away,30,50,3,1
30,2025-01-11,12:15,Third round proper,Home,30,2,4,1
31,2025-01-14,20:00,Matchweek 21,Away,30,38,1,1
32,2025-01-18,15:00,Matchweek 22,Away,30,11,1,1
33,2025-01-21,20:00,League phase,Home,30,81,2,1
34,2025-01-25,15:00,Matchweek 23,Home,30,27,1,1
35,2025-01-29,21:00,League phase,Away,30,99,2,1
36,2025-02-01,15:00,Matchweek 24,Away,30,10,1,1
37,2025-02-06,20:00,Semi-finals,Home,30,50,3,1
38,2025-02-09,15:00,Fourth round proper,Away,30,40,4,1
39,2025-02-12,19:30,Matchweek 15,Away,30,24,1,1
40,2025-02-16,14:00,Matchweek 25,Home,30,57,1,1
41,2025-02-19,19:30,Matchweek 29,Away,30,4,1,1
42,2025-02-23,16:30,Matchweek 26,Away,30,32,1,1
43,2025-02-26,20:15,Matchweek 27,Home,30,36,1,1
44,2025-03-05,21:00,Round of 16,Away,30,84,2,1
45,2025-03-08,15:00,Matchweek 28,Home,30,45,1,1
46,2025-03-11,20:00,Round of 16,Home,30,84,2,1
47,2025-03-16,16:30,Final,Neutral,30,36,3,1
48,2025-04-02,20:00,Matchweek 30,Home,30,24,1,1
49,2025-04-06,14:00,Matchweek 31,Away,30,26,1,1
50,2025-04-13,14:00,Matchweek 32,Home,30,55,1,1
51,2025-04-20,16:30,Matchweek 33,Away,30,28,1,1
52,2025-04-27,16:30,Matchweek 34,Home,30,50,1,1
53,2025-05-04,16:30,Matchweek 35,Away,30,18,1,1
54,2025-05-11,16:30,Matchweek 36,Home,30,3,1,1
55,2025-05-19,20:00,Matchweek 37,Away,30,12,1,1
56,2025-05-25,16:00,Matchweek 38,Home,30,22,1,1
57,2024-08-17,15:00,Matchweek 1,Home,3,57,1,1
58,2024-08-24,17:30,Matchweek 2,Away,3,4,1,1
59,2024-08-31,12:30,Matchweek 3,Home,3,12,1,1
60,2024-09-15,14:00,Matchweek 4,Away,3,50,1,1
61,2024-09-19,21:00,League phase,Away,3,90,2,1
62,2024-09-22,16:30,Matchweek 5,Away,3,32,1,1
63,2024-09-25,19:45,Third round,Home,3,9,3,1
64,2024-09-28,15:00,Matchweek 6,Home,3,28,1,1
65,2024-10-01,20:00,League phase,Home,3,84,2,1
66,2024-10-05,15:00,Matchweek 7,Home,3,45,1,1
67,2024-10-19,17:30,Matchweek 8,Away,3,10,1,1
68,2024-10-22,20:00,League phase,Home,3,113,2,1
69,2024-10-30,19:45,Fourth round,Away,3,41,3,1
70,2024-11-02,12:30,Matchweek 10,Away,3,36,1,1
71,2024-11-06,21:00,League phase,Away,3,92,2,1
72,2024-11-10,16:30,Matchweek 11,Away,3,18,1,1
73,2024-11-23,15:00,Matchweek 12,Home,3,38,1,1
