id_joueur,nom_joueur,position,nationalite,id_equipe
1,Mohamed Salah,FW,eg EGY,30
2,Virgil van Dijk,DF,nl NED,30
3,Ryan Gravenberch,MF,nl NED,30
4,Alexis Mac Allister,MF,ar ARG,30
5,Ibrahima Konaté,DF,fr FRA,30
6,Dominik Szoboszlai,MF,hu HUN,30
7,Andrew Robertson,DF,sct SCO,30
8,Alisson,GK,br BRA,30
9,Luis Díaz,FW,co COL,30
10,Trent Alexander-Arnold,DF,eng ENG,30
11,Cody Gakpo,FW,nl NED,30
12,Curtis Jones,"MF,DF",eng ENG,30
13,Diogo Jota,FW,pt POR,30
14,Caoimhín Kelleher,GK,ie IRL,30
15,Kostas Tsimikas,DF,gr GRE,30
16,Darwin Núñez,FW,uy URU,30
17,Conor Bradley,DF,nir NIR,30
18,Joe Gomez,DF,eng ENG,30
19,Jarell Quansah,DF,eng ENG,30
20,Harvey Elliott,MF,eng ENG,30
21,Wataru Endo,"MF,DF",jp JPN,30
22,Federico Chiesa,FW,it ITA,30
23,Vitezslav Jaros,GK,cz CZE,30
24,Jayden Danns,MF,eng ENG,30
25,Harvey Davies,GK,eng ENG,30
26,James McConnell,MF,eng ENG,30
27,Tyler Morton,MF,eng ENG,30
28,Amara Nallo,DF,eng ENG,30
29,Trey Nyoni,MF,eng ENG,30
30,David Raya,GK,es ESP,3
31,William Saliba,DF,fr FRA,3
32,Declan Rice,MF,eng ENG,3
33,Thomas Partey,"MF,DF",gh GHA,3
34,Leandro Trossard,FW,be BEL,3
35,Gabriel Magalhães,DF,br BRA,3
36,Jurriën Timber,DF,nl NED,3
37,Martin Ødegaard,MF,no NOR,3
38,Gabriel Martinelli,"FW,MF",br BRA,3
39,Kai Havertz,"FW,MF",de GER,3
40,Bukayo Saka,"FW,MF",eng ENG,3
41,Mikel Merino,"MF,FW",es ESP,3
42,Myles Lewis-Skelly,DF,eng ENG,3
43,Ben White,DF,eng ENG,3
44,Riccardo Calafiori,DF,it ITA,3
45,Ethan Nwaneri,"FW,MF",eng ENG,3
46,Jakub Kiwior,DF,pl POL,3
47,Jorginho,MF,it ITA,3
48,Raheem Sterling,"FW,MF",eng ENG,3
49,Gabriel Jesus,FW,br BRA,3
50,Oleksandr Zinchenko,"DF,MF",ua UKR,3
51,Kieran Tierney,"DF,FW",sct SCO,3
52,Nathan Butler-Oyedeji,FW,eng ENG,3
53,Takehiro Tomiyasu,DF,jp JPN,3
54,Reiss Nelson,FW,eng ENG,3
55,Brayden Clarke,DF,wls WAL,3
56,Jimi Gower,MF,eng ENG,3
57,Ayden Heaven,DF,eng ENG,3
58,Jack Henry-Francis,MF,ie IRL,3
59,Ismeal Kabia,MF,eng ENG,3
60,Maldini Kacurri,DF,al ALB,3
61,Neto,GK,br BRA,3
62,Josh Nichols,DF,eng ENG,3
63,Eddie Nketiah,FW,eng ENG,3
64,Salah Oulad M'Hand,MF,nl NED,3
65,Jack Porter,GK,eng ENG,3
66,Aaron Ramsdale,GK,eng ENG,3
67,Tommy Setford,GK,eng ENG,3
68,Joško Gvardiol,DF,hr CRO,32
69,Erling Haaland,FW,no NOR,32
