id_resultat,id_match,id_equipe,buts_marques,buts_concedes,resultat
1,1,30,2,0,Victoire
2,1,27,0,2,Défaite
3,2,30,2,0,Victoire
4,2,11,0,2,Défaite
5,3,30,3,0,Victoire
6,3,33,0,3,Défaite
7,4,30,0,1,Défaite
8,4,38,1,0,Victoire
9,5,30,3,1,Victoire
10,5,94,1,3,Défaite
11,6,30,3,0,Victoire
12,6,10,0,3,Défaite
13,7,30,5,1,Victoire
14,7,55,1,5,Défaite
15,8,30,2,1,Victoire
16,8,57,1,2,Défaite
17,9,30,2,0,Victoire
18,9,91,0,2,Défaite
19,10,30,1,0,Victoire
20,10,22,0,1,Défaite
21,11,30,2,1,Victoire
22,11,18,1,2,Défaite
23,12,30,1,0,Victoire
24,12,72,0,1,Défaite
25,13,30,2,2,Nul
26,13,3,2,2,Nul
27,14,30,3,2,Victoire
28,14,12,2,3,Défaite
29,15,30,2,1,Victoire
30,15,12,1,2,Défaite
31,16,30,4,0,Victoire
32,16,71,0,4,Défaite
33,17,30,2,0,Victoire
34,17,4,0,2,Défaite
35,18,30,3,2,Victoire
36,18,45,2,3,Défaite
37,19,30,2,0,Victoire
38,19,79,0,2,Défaite
39,20,30,2,0,Victoire
40,20,32,0,2,Défaite
41,21,30,3,3,Nul
42,21,36,3,3,Nul
43,22,30,1,0,Victoire
44,22,78,0,1,Défaite
45,23,30,2,2,Nul
46,23,26,2,2,Nul
47,24,30,2,1,Victoire
48,24,45,1,2,Défaite
49,25,30,6,3,Victoire
50,25,50,3,6,Défaite
51,26,30,3,1,Victoire
52,26,28,1,3,Défaite
53,27,30,5,0,Victoire
54,27,55,0,5,Défaite
55,28,30,2,2,Nul
56,28,33,2,2,Nul
57,29,30,0,1,Défaite
58,29,50,1,0,Victoire
59,30,30,4,0,Victoire
60,30,2,0,4,Défaite
61,31,30,1,1,Nul
62,31,38,1,1,Nul
63,32,30,2,0,Victoire
64,32,11,0,2,Défaite
65,33,30,2,1,Victoire
66,33,81,1,2,Défaite
67,34,30,4,1,Victoire
68,34,27,1,4,Défaite
69,35,30,2,3,Défaite
70,35,99,3,2,Victoire
71,36,30,2,0,Victoire
72,36,10,0,2,Défaite
73,37,30,4,0,Victoire
74,37,50,0,4,Défaite
75,38,30,0,1,Défaite
76,38,40,1,0,Victoire
77,39,30,2,2,Nul
78,39,24,2,2,Nul
79,40,30,2,1,Victoire
80,40,57,1,2,Défaite
81,41,30,2,2,Nul
82,41,4,2,2,Nul
83,42,30,2,0,Victoire
84,42,32,0,2,Défaite
85,43,30,2,0,Victoire
86,43,36,0,2,Défaite
87,44,30,1,0,Victoire
88,44,84,0,1,Défaite
89,45,30,3,1,Victoire
90,45,45,1,3,Défaite
91,46,30,1,4,Défaite
92,46,84,4,1,Victoire
93,47,30,1,2,Défaite
94,47,36,2,1,Défaite
95,48,30,1,0,Victoire
96,48,24,0,1,Défaite
97,49,30,2,3,Défaite
98,49,26,3,2,Victoire
99,50,30,2,1,Victoire
100,50,55,1,2,Défaite
101,51,30,1,0,Victoire
102,51,28,0,1,Défaite
103,52,30,5,1,Victoire
104,52,50,1,5,Défaite
105,53,30,1,3,Défaite
106,53,18,3,1,Victoire
107,54,30,2,2,Nul
108,54,3,2,2,Nul
109,55,30,2,3,Défaite
110,55,12,3,2,Victoire
111,56,30,1,1,Nul
112,56,22,1,1,Nul
113,57,3,2,0,Victoire
114,57,57,0,2,Défaite
115,58,3,2,0,Victoire
116,58,4,0,2,Défaite
117,59,3,1,1,Nul
118,59,12,1,1,Nul
119,60,3,1,0,Victoire
120,60,50,0,1,Défaite
121,61,3,0,0,Nul
122,61,90,0,0,Nul
123,62,3,2,2,Nul
124,62,32,2,2,Nul
125,63,3,5,1,Victoire
126,63,9,1,5,Défaite
127,64,3,4,2,Victoire
128,64,28,2,4,Défaite
129,65,3,2,0,Victoire
130,65,84,0,2,Défaite
131,66,3,3,1,Victoire
132,66,45,1,3,Défaite
133,67,3,0,2,Défaite
134,67,10,2,0,Victoire
135,68,3,1,0,Victoire
136,68,113,0,1,Défaite
137,69,3,3,0,Victoire
138,69,41,0,3,Défaite
139,70,3,0,1,Défaite
140,70,36,1,0,Victoire
141,71,3,0,1,Défaite
142,71,92,1,0,Victoire
143,72,3,1,1,Nul
144,72,18,1,1,Nul
145,73,3,3,0,Victoire
146,73,38,0,3,Défaite
147,74,3,5,1,Victoire
148,74,104,1,5,Défaite
149,75,3,5,2,Victoire
150,75,55,2,5,Défaite
151,76,3,2,0,Victoire
152,76,33,0,2,Défaite
153,77,3,1,1,Nul
154,77,26,1,1,Nul
155,78,3,3,0,Victoire
156,78,83,0,3,Défaite
157,79,3,0,0,Nul
158,79,24,0,0,Nul
159,80,3,3,2,Victoire
160,80,22,2,3,Défaite
161,81,3,5,1,Victoire
162,81,22,1,5,Défaite
163,82,3,1,0,Victoire
164,82,27,0,1,Défaite
165,83,3,3,1,Victoire
166,83,11,1,3,Défaite
167,84,3,1,1,Nul
168,84,12,1,1,Nul
169,85,3,0,2,Défaite
170,85,36,2,0,Victoire
171,86,3,3,5,Défaite
172,86,33,5,3,Victoire
173,87,3,2,1,Victoire
174,87,50,1,2,Défaite
175,88,3,2,2,Nul
176,88,4,2,2,Nul
177,89,3,3,0,Victoire
178,89,87,0,3,Défaite
179,90,3,1,0,Victoire
180,90,57,0,1,Défaite
181,91,3,2,1,Victoire
182,91,78,1,2,Défaite
183,92,3,5,1,Victoire
184,92,32,1,5,Défaite
185,93,3,0,2,Défaite
186,93,36,2,0,Victoire
187,94,3,2,0,Victoire
188,94,28,0,2,Défaite
189,95,3,0,1,Défaite
190,95,55,1,0,Victoire
191,96,3,0,0,Nul
192,96,38,0,0,Nul
193,97,3,7,1,Victoire
194,97,99,1,7,Défaite
195,98,3,1,1,Nul
196,98,33,1,1,Nul
197,99,3,2,2,Nul
198,99,99,2,2,Nul
199,100,3,1,0,Victoire
200,100,18,0,1,Défaite
201,101,3,2,1,Victoire
202,101,26,1,2,Défaite
203,102,3,1,1,Nul
204,102,24,1,1,Nul
205,103,3,3,0,Victoire
206,103,79,0,3,Défaite
207,104,3,1,1,Nul
208,104,11,1,1,Nul
209,105,3,2,1,Victoire
210,105,79,1,2,Défaite
211,106,3,4,0,Victoire
212,106,27,0,4,Défaite
213,107,3,2,2,Nul
214,107,22,2,2,Nul
215,108,3,0,1,Défaite
216,108,84,1,0,Victoire
217,109,3,1,2,Défaite
218,109,10,2,1,Victoire
219,110,3,1,2,Défaite
