id_stats,id_joueur,buts,passes_decisives,nb_matches_played,cartons_jaunes,cartons_rouges
1,1,29,18,38,1,0
2,2,3,1,37,5,0
3,3,0,4,37,6,1
4,4,5,5,35,6,0
5,5,1,2,31,5,0
6,6,6,6,36,6,0
7,7,0,1,33,3,1
8,8,0,0,28,0,0
9,9,13,5,36,2,0
10,10,3,6,33,5,0
11,11,10,4,35,5,0
12,12,3,3,33,3,1
13,13,6,3,26,2,0
14,14,0,0,10,0,0
15,15,0,1,18,2,0
16,16,5,2,30,8,0
17,17,0,2,19,4,0
18,18,0,0,9,1,0
19,19,0,0,13,2,0
20,20,1,2,18,1,0
21,21,0,0,20,0,0
22,22,0,0,6,0,0
23,23,0,0,1,0,0
24,24,0,0,1,0,0
25,25,0,0,0,0,0
26,26,0,0,0,0,0
27,27,0,0,0,0,0
28,28,0,0,0,0,0
29,29,0,0,0,0,0
30,30,0,0,38,3,0
31,31,2,0,35,2,1
32,32,4,7,35,7,1
33,33,4,2,35,4,0
34,34,8,7,38,4,1
35,35,3,1,28,4,0
36,36,1,3,30,7,0
37,37,3,8,30,4,0
38,38,8,4,33,1,0
39,39,9,3,23,5,0
40,40,6,10,25,3,0
41,41,7,2,28,4,1
42,42,1,0,23,3,2
43,43,0,2,17,2,0
44,44,2,1,19,4,0
45,45,4,2,26,1,0
46,46,1,0,17,1,0
47,47,0,0,15,5,0
48,48,0,2,17,1,0
49,49,3,0,17,4,0
50,50,0,1,15,1,0
51,51,1,0,13,0,0
52,52,0,0,1,0,0
53,53,0,0,1,0,0
54,362,0,0,1,0,0
55,55,0,0,0,0,0
56,56,0,0,0,0,0
57,498,0,0,0,0,0
58,58,0,0,0,0,0
59,59,0,0,0,0,0
60,60,0,0,0,0,0
61,292,0,0,0,0,0
62,62,0,0,0,0,0
63,387,0,0,0,0,0
64,64,0,0,0,0,0
65,65,0,0,0,0,0
66,668,0,0,0,0,0
67,67,0,0,0,0,0
68,68,5,0,37,2,0
69,69,22,3,31,2,0
70,70,4,4,33,7,0
71,71,0,4,26,4,0
72,72,0,0,27,4,0
73,73,1,6,33,1,0
74,74,6,2,31,5,1
75,75,0,0,26,3,0
76,76,1,2,28,5,1
77,77,1,8,29,3,0
78,78,7,2,28,2,0
79,79,4,7,28,2,0
80,80,1,6,26,4,0
81,81,3,6,29,1,0
82,82,7,0,16,0,0
83,83,0,0,13,1,0
84,84,0,0,15,3,0
85,85,1,0,11,3,0
86,86,0,0,10,0,0
87,87,1,1,20,3,0
88,88,2,0,11,1,0
89,89,2,0,9,0,0
90,90,0,0,6,1,0
91,91,3,0,15,1,0
92,92,0,0,2,1,0
93,93,0,0,3,0,0
94,94,0,0,1,0,0
95,95,0,0,3,0,0
96,96,0,0,1,0,0
97,97,0,0,1,0,0
98,98,0,0,0,0,0
99,99,0,0,0,0,0
100,100,0,0,0,0,0
101,101,0,0,0,0,0
102,102,0,0,0,0,0
103,103,0,0,0,0,0
104,104,1,2,38,11,0
105,105,15,8,37,7,0
106,106,2,1,35,9,0
107,107,5,1,36,10,1
108,108,6,7,36,8,0
109,109,0,0,32,5,0
110,110,10,5,30,7,1
111,111,7,3,32,3,0
112,112,4,6,35,8,0
113,113,0,1,32,4,0
114,114,3,4,31,2,0
115,115,1,1,22,4,0
116,116,0,0,14,7,0
117,117,1,1,19,1,0
118,386,0,1,13,2,0
119,119,0,1,16,4,0
120,120,3,2,27,2,0
121,121,0,0,6,0,0
122,186,1,0,6,1,0
123,123,1,1,12,2,0
124,124,0,0,5,0,0
125,125,0,1,13,0,0
126,126,0,0,4,1,0
127,127,1,1,8,1,0
128,128,0,0,7,2,0
129,129,0,0,7,0,0
130,130,0,0,3,0,0
131,131,0,0,1,0,0
132,132,0,0,1,0,0
133,133,0,0,0,0,0
134,134,0,0,0,0,0
135,135,0,0,0,0,0
136,136,0,0,0,0,0
137,137,0,0,0,0,0
138,138,0,0,0,0,0
139,139,5,6,38,7,0
140,140,1,1,37,11,0
141,141,23,6,34,1,0
142,142,4,0,34,9,1
143,143,0,1,37,1,0
144,144,8,12,35,4,0
145,145,4,3,29,10,0
146,146,4,2,36,5,0
147,147,0,0,28,2,0
148,148,6,5,34,2,0
149,149,0,4,27,3,0
150,150,9,4,33,0,0
151,151,0,3,25,1,0
152,152,0,2,32,4,0
153,153,0,0,10,0,0
154,154,0,0,25,2,0
155,155,0,0,8,1,0
156,156,0,1,10,2,0
157,157,0,0,18,1,0
158,158,0,0,12,2,0
159,159,1,0,14,0,0
160,160,0,0,9,0,0
161,161,1,0,14,0,0
162,162,0,0,2,0,0
163,163,0,0,0,0,0
164,164,0,0,0,0,0
165,165,0,0,0,0,0
166,166,0,0,0,0,0
167,167,0,0,0,0,0
168,168,0,0,0,0,0
169,169,0,0,37,5,1
170,170,8,10,37,10,0
171,171,3,7,36,4,0
172,172,2,0,34,1,0
173,173,16,8,38,2,0
174,174,0,4,32,4,0
175,175,1,4,34,7,0
176,176,1,1,27,7,0
177,177,0,0,24,2,0
178,178,1,0,26,2,0
179,179,3,0,26,4,0
180,180,1,3,29,4,1
181,181,1,2,24,3,0
182,182,0,0,14,1,0
183,183,1,2,29,2,0
184,184,3,1,13,2,0
185,185,0,0,10,1,0
186,186,0,0,7,2,0
187,187,0,0,8,2,0
188,188,0,0,7,0,0
189,189,7,0,20,3,1
190,489,2,2,10,0,0
191,191,3,1,20,3,0
192,652,0,0,11,4,1
193,193,3,0,14,0,0
194,194,0,0,4,0,0
195,195,0,0,5,0,0
196,196,0,0,12,1,0
197,197,0,0,0,0,0
198,198,0,0,0,0,0
199,199,0,0,0,0,0
200,200,0,0,0,0,0
201,201,0,0,0,0,0
202,202,0,0,0,0,0
203,203,0,0,38,4,0
204,204,5,2,37,4,0
205,205,2,0,36,6,0
206,206,2,1,35,5,0
207,207,20,3,36,1,0
208,208,7,8,34,11,1
209,209,2,6,37,10,0
210,210,6,11,38,1,0
211,211,1,3,35,7,0
212,212,5,2,31,2,0
213,213,0,1,34,9,0
214,214,2,1,35,10,0
215,215,0,1,15,2,0
216,216,0,1,13,3,0
217,217,0,0,26,5,0
218,218,3,1,31,5,0
219,459,0,1,9,2,1
220,220,0,0,8,0,0
221,221,1,0,26,0,0
222,222,1,0,19,1,0
223,223,0,0,6,1,0
224,224,0,0,4,1,0
225,225,0,0,2,0,0
226,226,0,0,0,0,0
227,227,0,0,0,0,0
228,228,0,0,0,0,0
229,229,0,0,0,0,0
230,230,0,1,36,5,0
231,231,1,1,34,8,1
232,232,3,1,34,8,1
233,233,10,4,36,1,0
234,234,1,1,30,5,0
235,235,10,4,30,5,0
236,236,0,0,25,5,0
237,237,10,6,27,4,1
238,238,2,1,34,3,0
239,239,5,2,26,5,0
240,240,6,4,32,6,0
241,241,0,0,21,5,0
242,242,5,3,28,2,0
243,243,2,2,29,0,0
244,244,2,2,21,1,0
245,245,0,0,14,1,0
246,246,1,3,25,6,0
247,247,0,0,13,4,0
248,248,2,2,15,0,0
249,249,1,4,21,0,0
250,250,1,0,6,1,0
251,251,1,0,16,0,0
252,252,0,0,4,1,0
253,647,0,0,12,0,0
254,468,1,0,13,0,0
255,255,0,0,2,0,0
256,256,0,0,8,2,0
257,257,0,0,2,0,0
258,258,0,0,2,0,0
259,259,0,0,4,0,0
260,260,0,0,1,0,0
261,261,0,0,1,0,0
262,262,0,0,0,0,0
263,263,0,0,0,0,0
264,264,0,0,0,0,0
265,265,0,0,0,0,0
266,266,0,0,0,0,0
267,267,0,0,0,0,0
268,268,0,0,0,0,0
269,269,0,0,0,0,0
270,270,0,0,0,0,0
271,271,0,0,0,0,0
272,272,2,5,38,4,0
273,273,11,5,37,9,0
274,274,0,1,36,4,1
275,275,1,3,36,8,1
276,276,0,0,31,3,0
277,277,12,6,34,8,0
278,278,10,1,31,1,1
279,279,2,3,29,9,0
280,280,3,2,32,10,0
281,281,7,4,32,3,0
282,282,0,3,28,7,0
283,283,3,5,29,6,0
284,284,0,0,25,7,0
285,285,0,0,17,5,0
286,286,2,0,29,3,0
287,287,0,0,20,3,0
